 county     | year | dayswaqi | gdays | maqi | ig_conv_left_dayswaqi | ig_conv_right_gdays | ig_conv_left_dayswaqi_integ | ig_conv_right_gdays_integ | hamming_right_gdays_integ | hamming_left_dayswaqi_integ | IG_right_gdays_integ | IG_left_dayswaqi_integ | Total_IG |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 DeKalb     | 2021 | 239      | 211   | 84   | 0011101111            | 0011010011          | 0011101111                  | 0011010011                | 0011010011                | 0000000000                  | 5                    | 0                      | 5        |
 Elmore     | 2021 | 180      | 177   | 87   | 0010110100            | 0010110001          | 0010110100                  | 0010110001                | 0010110001                | 0000000000                  | 4                    | 0                      | 4        |
 Etowah     | 2021 | 178      | 178   | 77   | 0011001100            | 0010110010          | 0010110010                  | 0010110010                | 0010110010                | 0001111110                  | 4                    | 6                      | 10       |
 Jefferson  | 2021 | 90       | 90    | 213  | 0010110110            | 0001011010          | 0001011010                  | 0001011010                | 0001011010                | 0011101100                  | 4                    | 5                      | 9        |
 Madison    | 2021 | 139      | 139   | 101  | 0010101101            | 0010001011          | 0010001011                  | 0010001011                | 0010001011                | 0000100110                  | 4                    | 3                      | 7        |
 Mobile     | 2021 | 243      | 99999 | 81   | 0011110011            | 0000000000          | 0011110011                  | 0000000000                | 0000000000                | 0000000000                  | 0                    | 0                      | 0        |
 Montgomery | 2021 | 232      | 99999 | 93   | 0011101000            | 0000000000          | 0011101000                  | 0000000000                | 0000000000                | 0000000000                  | 0                    | 0                      | 0        |
 Morgan     | 2021 | 243      | 191   | 96   | 0011110011            | 0010111111          | 0011110011                  | 0010111111                | 0010111111                | 0000000000                  | 7                    | 0                      | 7        |
 Russell    | 2021 | 189      | 189   | 142  | 0011110011            | 0010111101          | 0010111101                  | 0010111101                | 0010111101                | 0001001110                  | 6                    | 4                      | 10       |
 Sumter     | 2021 | 99999    | 226   | 68   | 0000000000            | 0011100010          | NULL                        | 0011100010                | 0011100010                | NULL                        | 4                    | NULL                   | NULL     |
 Baldwin    | 2021 | 99999    | 190   | 61   | 0000000000            | 0010111110          | NULL                        | 0010111110                | 0010111110                | NULL                        | 6                    | NULL                   | NULL     |
 Shelby     | 2021 | 226      | 226   | 107  | 0000000000            | 0011100010          | 0011100010                  | 0011100010                | 0011100010                | 0011100010                  | 4                    | 4                      | 8        |
 Clay       | 2021 | 99999    | 66    | 67   | 0000000000            | 0001000010          | NULL                        | 0001000010                | 0001000010                | NULL                        | 2                    | NULL                   | NULL     |
